表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
クエッションマーク,名詞,一般,*,*,*,*,*
？,記号,一般,*,*,*,*,？,？,？
ばっかり,助詞,副助詞,*,*,*,*,ばっかり,バッカリ,バッカリ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
　,記号,空白,*,*,*,*,　,　,　
アタマ,名詞,一般,*,*,*,*,アタマ,アタマ,アタマ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
グルグル,副詞,一般,*,*,*,*,グルグル,グルグル,グルグル
なんで,副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ
また,接続詞,*,*,*,*,*,また,マタ,マタ
泣い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,泣く,ナイ,ナイ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
の,助詞,連体化,*,*,*,*,の,ノ,ノ
?　,名詞,サ変接続,*,*,*,*,*
話し,動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
おくれよ,動詞,自立,*,*,一段,命令ｙｏ,おくれる,オクレヨ,オクレヨ
キミ,名詞,代名詞,一般,*,*,*,キミ,キミ,キミ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
「,記号,括弧開,*,*,*,*,「,「,「
コレ,名詞,固有名詞,一般,*,*,*,*
切っ,動詞,自立,*,*,五段・ラ行,連用タ接続,切る,キッ,キッ
て,動詞,非自立,*,*,一段,連用形,てる,テ,テ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
」,記号,括弧閉,*,*,*,*,」,」,」
と,助詞,格助詞,引用,*,*,*,と,ト,ト
タマネギ,名詞,一般,*,*,*,*,タマネギ,タマネギ,タマネギ
片手,名詞,一般,*,*,*,*,片手,カタテ,カタテ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
振り向い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,振り向く,フリムイ,フリムイ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
　,記号,空白,*,*,*,*,　,　,　
それだけ,副詞,助詞類接続,*,*,*,*,それだけ,ソレダケ,ソレダケ
?,名詞,サ変接続,*,*,*,*,*
少し,副詞,助詞類接続,*,*,*,*,少し,スコシ,スコシ
気,名詞,一般,*,*,*,*,気,キ,キ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
言葉,名詞,一般,*,*,*,*,言葉,コトバ,コトバ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
足り,動詞,自立,*,*,一段,未然形,足りる,タリ,タリ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
　,記号,空白,*,*,*,*,　,　,　
わかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,わかる,ワカッ,ワカッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
　,記号,空白,*,*,*,*,　,　,　
一口,名詞,一般,*,*,*,*,一口,ヒトクチ,ヒトクチ
ウィスキー,名詞,一般,*,*,*,*,ウィスキー,ウィスキー,ウィスキー
飲ん,動詞,自立,*,*,五段・マ行,連用タ接続,飲む,ノン,ノン
だら,助動詞,*,*,*,特殊・タ,仮定形,だ,ダラ,ダラ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
It,名詞,固有名詞,組織,*,*,*,*
',名詞,サ変接続,*,*,*,*,*
s,名詞,一般,*,*,*,*,*
Only,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
Forever,名詞,一般,*,*,*,*,*
.,名詞,サ変接続,*,*,*,*,*
Always,名詞,一般,*,*,*,*,*
I,名詞,一般,*,*,*,*,*
Like,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
邪魔,名詞,サ変接続,*,*,*,*,邪魔,ジャマ,ジャマ
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
It,名詞,固有名詞,組織,*,*,*,*
',名詞,サ変接続,*,*,*,*,*
s,名詞,一般,*,*,*,*,*
Only,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
Forever,名詞,一般,*,*,*,*,*
.,名詞,サ変接続,*,*,*,*,*
Always,名詞,一般,*,*,*,*,*
I,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
キミ,名詞,代名詞,一般,*,*,*,キミ,キミ,キミ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
教え,動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
くれ,動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
　,記号,空白,*,*,*,*,　,　,　
ボク,名詞,代名詞,一般,*,*,*,ボク,ボク,ボク
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
強く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,強い,ツヨク,ツヨク
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル
　,記号,空白,*,*,*,*,　,　,　
Always,名詞,固有名詞,組織,*,*,*,*
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
!,名詞,サ変接続,*,*,*,*,*
I,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
驚き,名詞,一般,*,*,*,*,驚き,オドロキ,オドロキ
だらけ,名詞,接尾,一般,*,*,*,だらけ,ダラケ,ダラケ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
春,名詞,一般,*,*,*,*,春,ハル,ハル
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
過ぎ,動詞,自立,*,*,一段,連用形,過ぎる,スギ,スギ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
けど,助詞,接続助詞,*,*,*,*,けど,ケド,ケド
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ
心,名詞,一般,*,*,*,*,心,ココロ,ココロ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
終わら,動詞,自立,*,*,五段・ラ行,未然形,終わる,オワラ,オワラ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
青春,名詞,一般,*,*,*,*,青春,セイシュン,セイシュン
抱きしめ,動詞,自立,*,*,一段,連用形,抱きしめる,ダキシメ,ダキシメ
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
　,記号,空白,*,*,*,*,　,　,　
ほんと,感動詞,*,*,*,*,*,ほんと,ホント,ホント
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
いつ,名詞,代名詞,一般,*,*,*,いつ,イツ,イツ
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ
　,記号,空白,*,*,*,*,　,　,　
もう,副詞,一般,*,*,*,*,もう,モウ,モー
一,名詞,数,*,*,*,*,一,イチ,イチ
口,名詞,接尾,助数詞,*,*,*,口,クチ,クチ
飲ん,動詞,自立,*,*,五段・マ行,連用タ接続,飲む,ノン,ノン
だら,助動詞,*,*,*,特殊・タ,仮定形,だ,ダラ,ダラ
いく,動詞,自立,*,*,五段・カ行促音便,基本形,いく,イク,イク
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
It,名詞,固有名詞,組織,*,*,*,*
',名詞,サ変接続,*,*,*,*,*
